Transaction.Output.ID,Transaction.Output.Address,Transactions.Output.Value
123320,1576170,2.71736105212686e-316
125034,5844984,4.52070065944741e-313
125804,5531746,9.21432429493925e-314
126483,1495028,2.47032822920623e-314
126728,3315536,3.19033009489068e-313
126893,1727073,2.47032822920623e-315
131068,5941413,4.94065645841247e-318
131699,1597461,2.47032822920623e-314
131918,1518598,2.47032822920623e-314
133229,2552108,2.47032822920623e-316
133280,4722863,2.47032822920623e-314
134630,3470061,2.47032822920623e-314
136283,1742126,2.47032822920623e-316
136573,2030672,2.47032822920623e-314
138669,2224558,2.47032822920623e-313
139836,1228230,2.40684079371563e-313
140140,6262123,9.88131291682493e-316
140612,6286709,2.47032822920623e-314
140641,3160235,2.47032822920623e-317
143539,5305128,2.47032822920623e-317
143754,2636406,4.91545911047456e-314
144840,5954956,1.90412899907216e-314
145316,3396141,6.46731930406192e-315
145626,1944429,4.44659081257122e-317
147322,5726337,7.31217155845045e-316
148603,1162019,4.94065645841247e-318
149012,1162019,4.94065645841247e-318
149491,3363823,7.00091020157046e-315
151728,2791084,2.47032822920623e-314
152443,2791084,2.47032822920623e-314
153484,2791084,2.47032822920623e-314
156208,2791084,2.47032822920623e-314
159858,1674490,2.47032822920623e-317
162027,5876532,4.94065645841247e-318
162515,728367,4.94065645841247e-318
162517,728367,4.94065645841247e-318
165293,4908798,9.88131291682493e-313
166027,5876532,4.94065645841247e-318
166175,728367,4.94065645841247e-318
166411,5876532,4.94065645841247e-318
166892,728367,4.94065645841247e-318
167389,728367,4.94065645841247e-318
167769,5876532,4.94065645841247e-318
168658,4190125,4.94065645841247e-318
171141,4190125,4.94065645841247e-318
171207,4190125,4.94065645841247e-318
171693,657178,4.94065645841247e-314
171962,22963,4.94065645841247e-318
173816,4190125,4.94065645841247e-318
174378,22963,4.94065645841247e-318
176076,22963,4.94065645841247e-318
177735,5585146,4.94065645841247e-318
178250,5585146,4.94065645841247e-318
180353,5585146,4.94065645841247e-318
181594,5585146,4.94065645841247e-318
182031,5585146,4.94065645841247e-318
182792,1422067,4.94065645841247e-318
183852,5585146,4.94065645841247e-318
183863,5585146,4.94065645841247e-318
184550,5585146,4.94065645841247e-318
186619,1422067,4.94065645841247e-318
188548,2261639,2.47032822920623e-314
188789,3467387,2.36163378712116e-315
189190,4011039,4.94065645841247e-318
191299,4011039,4.94065645841247e-318
192384,4011039,4.94065645841247e-318
192517,4011039,4.94065645841247e-318
192839,4011039,9.88131291682493e-318
193538,2785781,2.47032822920623e-317
194605,1192202,9.88131291682493e-318
195027,5566121,1.48219693752374e-316
195228,5566121,1.48219693752374e-316
195607,1485755,2.47032822920623e-317
195864,5566121,1.48219693752374e-316
196172,1682713,1.48219693752374e-316
197373,2353023,2.47032822920623e-315
197685,2353023,2.47032822920623e-315
197764,2353023,2.47032822920623e-315
198706,491545,4.94065645841247e-318
199757,5500813,2.47032822920623e-317
200676,3999372,2.47032822920623e-314
201267,6109460,8.20148972096469e-315
202917,1774854,1.75096864886138e-314
202972,5000352,2.47032822920623e-314
203903,5060121,4.53552262882264e-315
204480,5432974,2.47032822920623e-314
205831,3580852,5.02277016875128e-313
206016,2573604,1.48219693752374e-317
206689,2395768,2.47032822920623e-317
207522,1986395,1.95649995753134e-314
207525,5519904,2.47032822920623e-317
208089,6220131,2.47032822920623e-317
209354,389804,1.89133269884488e-313
209400,5556540,1.23516411460312e-314
210392,1927886,2.47032822920623e-317
210994,4295841,1.08348596132985e-314
211454,3943179,2.47032822920623e-317
211483,2705111,2.47032822920623e-317
211498,2289163,2.47032822920623e-314
212144,6428451,2.47032822920623e-317
213124,1816597,2.47032822920623e-317
213253,2492324,2.47032822920623e-314
214106,5382420,2.47032822920623e-316
214467,2174585,2.47032822920623e-315
214738,876429,4.62939510153248e-315
215140,1453719,4.94065645841247e-318
215268,2602002,2.47032822920623e-314
215283,6227021,2.47032822920623e-314
216270,936947,1.88387230759267e-314
217076,3957236,2.47032822920623e-317
217786,5937498,1.68303462255821e-313
218143,2793411,6.4228533959362e-317
218373,1493844,2.47032822920623e-314
218697,6008942,2.35521093372522e-314
219112,6257906,1.66969485012049e-313
219490,4454229,4.94065645841247e-318
219633,519813,2.47032822920623e-317
220998,4536294,6.27463370218383e-316
221791,66574,6.12641400843146e-315
223585,3288217,1.17291184322712e-314
223730,2986591,4.94065645841247e-318
223889,4856005,4.94065645841247e-318
224053,4454229,4.94065645841247e-318
225730,4187833,1.85274617190467e-315
226144,4205193,2.07062912172066e-314
226624,4545892,4.94065645841247e-318
228417,4321715,1.48219693752374e-317
229259,4856005,4.94065645841247e-318
230221,379523,2.06667659655393e-314
231039,1802334,2.47032822920623e-317
231076,4454229,4.94065645841247e-318
231536,712555,1.18575755001899e-316
232406,4856005,4.94065645841247e-318
232560,1365887,7.65801751053932e-316
233570,2810881,2.86558074587923e-315
233998,3636932,2.47032822920623e-314
236208,3539023,8.12243921763009e-315
237269,1017644,4.94065645841247e-318
237349,3434583,5.04935090049754e-315
238036,1647287,2.47032822920623e-314
238597,5528558,2.07507571253324e-316
239373,5978529,3.75489890839347e-316
239648,1959042,4.94065645841247e-318
240402,3582208,5.68175492717434e-313
241717,1595417,1.5056650557012e-313
241854,1608190,1.48269100316958e-314
242008,5984273,2.51973479379036e-316
242527,2032248,6.72917409635778e-315
243216,6095166,2.05778341492879e-314
243243,3689520,2.47082229485207e-314
243261,1017644,4.94065645841247e-318
243924,2365363,2.47032822920623e-317
244028,4143509,1.2302234581447e-315
244492,5828307,2.47032822920623e-314
245197,2350483,1.4110514845226e-314
245504,5753022,2.91498731046335e-316
245767,3244101,1.42488532260616e-313
245947,2233891,5.43472210425371e-317
246097,4115451,1.10226045587182e-314
246196,1166201,2.47032822920623e-314
246443,6375868,3.1719014463008e-315
247271,4692088,1.10176639022598e-315
248858,6257782,2.47032822920623e-317
250023,5334483,2.76676761671098e-316
250314,4833313,1.3223667010941e-313
251697,59696,1.09064991319455e-313
251847,274451,1.06767586066293e-313
252237,1820867,2.47032822920623e-313
252365,3654995,2.47032822920623e-317
252477,2858709,2.47032822920623e-314
254138,935909,3.0138004396316e-316
254814,2274917,3.95252516672997e-315
255288,6007463,4.94065645841247e-313
255670,5988716,4.94065645841247e-316
256541,3387211,5.08887615216484e-316
256864,2381099,1.77369566857008e-315
257309,1570776,2.4184513363929e-314
259002,1084463,7.0157321709457e-316
259013,3560879,1.28111221966635e-314
259704,6459839,6.22522713759971e-316
260120,6480447,3.11261356879985e-316
260418,2140036,5.43472210425371e-317
260570,4299049,9.88131291682493e-316
260840,4327750,1.33397724377137e-316
261074,5547316,1.38091348012628e-314
265727,3025162,9.88131291682493e-318
267935,1182440,2.47032822920623e-317
268662,4729322,2.47032822920623e-317
269215,2877807,1.8171734454041e-314
269285,6228775,2.41351067993449e-314
269823,6184186,9.58487352932018e-316
269852,3557244,4.94065645841247e-318
270032,4686686,2.96439387504748e-315
270646,6269017,4.84184332924422e-316
270893,4523738,2.47032822920623e-317
271931,1968841,6.4228533959362e-317
272298,4400428,3.70549234380935e-316
272612,2899619,2.05531308669959e-314
272894,3532449,2.47032822920623e-317
273419,4292325,2.61261913520851e-314
274299,981044,1.88733076711356e-315
274305,6131305,4.94065645841247e-317
275396,4830159,5.28650241050134e-316
275446,2136943,4.94065645841247e-317
276135,1237292,1.08200376439233e-315
276165,5960802,1.18575755001899e-316
276490,346116,4.94065645841247e-316
276623,4655229,1.269748709812e-314
278436,955153,4.05133829589822e-316
279150,1895754,1.6398038785471e-314
279433,2281055,4.94065645841247e-316
279877,969441,5.08887615216484e-316
281003,809109,7.4109846876187e-317
281662,546659,1.50270066182615e-313
282444,4820167,5.34579028800229e-315
283314,813225,1.40215830289746e-313
283594,518003,2.47329262308128e-314
283986,2215315,2.47032822920623e-317
284520,3571114,2.47032822920623e-317
284696,3875426,1.99602520919864e-314
284773,3417287,2.47032822920623e-317
285385,1975293,2.47032822920623e-317
